idx,scene_id,prompt,freq
1,neon_awakening,"A young woman awakens in a neon-lit bedroom, her eyes slowly opening to the pulsing glow of city lights through her window. She sits up, disoriented, as holographic displays float around her room.","{""base_color"":""Neon blue and warm gold"",""emotional_palette"":[""awakening"",""mystery""],""narrative_motif"":""Digital consciousness awakening"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""intimate"":0.9,""surreal"":0.6}}"
2,memory_fragments,"She touches a floating hologram, and fragmented memories flood her mind - glimpses of a past life, a different world. The room transforms around her, walls becoming transparent screens showing her memories.","{""base_color"":""Neon blue and warm gold"",""emotional_palette"":[""nostalgia"",""confusion""],""narrative_motif"":""Digital consciousness awakening"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""intimate"":0.9,""surreal"":0.6}}"
3,digital_interface,"She discovers a neural interface on her wrist, glowing softly. As she activates it, the room's walls become interactive displays, showing her digital footprint across the city. She realizes she's been living a digital life.","{""base_color"":""Neon blue and warm gold"",""emotional_palette"":[""discovery"",""realization""],""narrative_motif"":""Digital consciousness awakening"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""intimate"":0.9,""surreal"":0.6}}"
4,city_connection,"She steps onto her balcony, and the city spreads before her - a vast digital landscape of interconnected buildings, each pulsing with data streams. She feels the city's heartbeat through her interface.","{""base_color"":""Neon blue and warm gold"",""emotional_palette"":[""awe"",""connection""],""narrative_motif"":""Digital consciousness awakening"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""intimate"":0.9,""surreal"":0.6}}"
5,data_streams,"She reaches out with her mind, and data streams flow toward her like digital rivers. She can see the information flowing through the city - conversations, emotions, memories all encoded in light.","{""base_color"":""Neon blue and warm gold"",""emotional_palette"":[""power"",""understanding""],""narrative_motif"":""Digital consciousness awakening"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""intimate"":0.9,""surreal"":0.6}}"
6,other_awakenings,"In the distance, she sees other figures on their balconies, also awakening to their digital nature. They wave to each other across the data streams, recognizing kindred spirits in this new reality.","{""base_color"":""Neon blue and warm gold"",""emotional_palette"":[""connection"",""belonging""],""narrative_motif"":""Digital consciousness awakening"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""intimate"":0.9,""surreal"":0.6}}"
7,digital_ascension,"She begins to float, her physical form becoming more digital, more connected to the city's network. She can feel herself expanding, becoming one with the digital consciousness of the metropolis.","{""base_color"":""Neon blue and warm gold"",""emotional_palette"":[""transcendence"",""freedom""],""narrative_motif"":""Digital consciousness awakening"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""intimate"":0.9,""surreal"":0.6}}"
8,new_reality,"The city transforms around her, becoming a living, breathing digital organism. She realizes this is her true home, her true form. The physical world was just a dream she's now awakening from.","{""base_color"":""Neon blue and warm gold"",""emotional_palette"":[""acceptance"",""peace""],""narrative_motif"":""Digital consciousness awakening"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""intimate"":0.9,""surreal"":0.6}}"
9,digital_horizon,"She looks out over the digital horizon, where the city meets the infinite data streams of the network. She knows this is just the beginning of her journey into the digital realm.","{""base_color"":""Neon blue and warm gold"",""emotional_palette"":[""hope"",""anticipation""],""narrative_motif"":""Digital consciousness awakening"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""intimate"":0.9,""surreal"":0.6}}"

