idx,scene_id,prompt,freq
1,unexpected_meeting,"[SCENE] Ayla and Rex accidentally meet in a hidden rooftop garden, neon lights creating a romantic atmosphere. Both are off-duty, vulnerable, without their usual armor. [CONTINUITY] Ayla's signature outfit but relaxed, Rex without his corporate suit, same city skyline but softer lighting. [CAMERA/LIGHT] 35mm lens, high contrast, shallow depth of field, soft neon glow creating intimate shadows. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.8,""surreal"":0.6,""documentary"":0.7},""emotional_palette"":[""vulnerability"",""surprise""]}"
2,guarded_conversation,"[SCENE] They sit on the edge of the building, talking cautiously. Ayla's holo-computer shows encrypted messages, Rex's corporate badge glints in the neon light. [CONTINUITY] Both characters in relaxed versions of their outfits, city skyline visible, intimate lighting. [CAMERA/LIGHT] 35mm lens, high contrast, shallow DOF, close-up shots with neon backlighting. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.7,""surreal"":0.5,""documentary"":0.8},""emotional_palette"":[""caution"",""curiosity""]}"
3,shared_secret,"[SCENE] Ayla reveals a secret about the city's AI system, Rex shares his corporate doubts. Their hands almost touch as they lean over the holo-display. [CONTINUITY] Same relaxed outfits, intimate setting, soft neon lighting. [CAMERA/LIGHT] 35mm lens, high contrast, shallow DOF, romantic lighting with neon accents. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.9,""surreal"":0.4,""documentary"":0.7},""emotional_palette"":[""trust"",""intimacy""]}"
4,neon_dance,"[SCENE] They stand up, moving together in a slow dance as the city's neon lights pulse around them. Ayla's cybernetic enhancements glow softly, Rex's corporate implants respond. [CONTINUITY] Same outfits, romantic setting, synchronized neon lighting. [CAMERA/LIGHT] 35mm lens, high contrast, shallow DOF, dynamic lighting from pulsing neon. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.9,""surreal"":0.7,""documentary"":0.6},""emotional_palette"":[""connection"",""synchronization""]}"
5,corporate_interruption,"[SCENE] Rex's corporate comm beeps, breaking the moment. He looks conflicted, torn between duty and newfound feelings. Ayla steps back, her defenses returning. [CONTINUITY] Same outfits, romantic setting interrupted, lighting becomes harsher. [CAMERA/LIGHT] 35mm lens, high contrast, shallow DOF, dramatic lighting shift. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.4,""surreal"":0.6,""documentary"":0.8},""emotional_palette"":[""conflict"",""tension""]}"
6,parting_glances,"[SCENE] They part ways, but both look back with longing. The neon lights seem to dim as they walk in opposite directions. [CONTINUITY] Same outfits, romantic setting ending, melancholic lighting. [CAMERA/LIGHT] 35mm lens, high contrast, shallow DOF, soft shadows and neon glow. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.6,""surreal"":0.5,""documentary"":0.8},""emotional_palette"":[""longing"",""melancholy""]}"
7,corporate_dilemma,"[SCENE] Rex in his office, staring at Ayla's encrypted file on his screen. His corporate loyalty battles with his heart. [CONTINUITY] Rex in corporate suit, office setting, harsh corporate lighting. [CAMERA/LIGHT] 35mm lens, high contrast, shallow DOF, cold corporate lighting. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.3,""surreal"":0.4,""documentary"":0.9},""emotional_palette"":[""dilemma"",""internal_conflict""]}"
8,hacker_decision,"[SCENE] Ayla in her hideout, reviewing Rex's corporate data. She realizes he's not the enemy she thought. Her cybernetic enhancements pulse with determination. [CONTINUITY] Ayla in her signature outfit, hideout setting, neon lighting. [CAMERA/LIGHT] 35mm lens, high contrast, shallow DOF, neon glow lighting. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.7,""surreal"":0.6,""documentary"":0.8},""emotional_palette"":[""realization"",""determination""]}"
9,neon_reunion,"[SCENE] They meet again at the same rooftop garden, this time with understanding. The neon lights create a heart-shaped glow around them as they embrace. [CONTINUITY] Same relaxed outfits, romantic setting, heart-shaped neon lighting. [CAMERA/LIGHT] 35mm lens, high contrast, shallow DOF, romantic neon lighting. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.9,""surreal"":0.8,""documentary"":0.6},""emotional_palette"":[""love"",""reunion"",""hope""]}"

