idx,scene_id,prompt,freq
1,city_sleepers,"Wide aerial night city, scattered lit windows, subtle pulsing light under streets, cyberpunk haze, cinematic, 9:16 aspect ratio, vertical composition","{""base_color"":""Teal-gold and night navy"",""emotional_palette"":[""mystery"",""anticipation""],""narrative_motif"":""Collective dream awakening"",""camera_bias"":""Aerial slow tilt, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.8,""mystical"":0.9,""documentary"":0.6}}"
2,frequency_map,"Holographic city map with glowing pathways, heartbeat-like pulses, teal-gold palette, vertical composition, 9:16 aspect ratio","{""base_color"":""Teal-gold and night navy"",""emotional_palette"":[""mystery"",""anticipation""],""narrative_motif"":""Collective dream awakening"",""camera_bias"":""Aerial slow tilt, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.8,""mystical"":0.9,""documentary"":0.6}}"
3,rooftop_listen,"Silhouette on rooftop with antenna headset, wind, distant neon skyline, contemplative pose, 9:16 vertical composition","{""base_color"":""Teal-gold and night navy"",""emotional_palette"":[""mystery"",""anticipation""],""narrative_motif"":""Collective dream awakening"",""camera_bias"":""Aerial slow tilt, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.8,""mystical"":0.9,""documentary"":0.6}}"
4,subway_echo,"Subway carriage with passengers eyes closed, subtle light pulses syncing, motion blur, 9:16 vertical composition","{""base_color"":""Teal-gold and night navy"",""emotional_palette"":[""mystery"",""anticipation""],""narrative_motif"":""Collective dream awakening"",""camera_bias"":""Aerial slow tilt, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.8,""mystical"":0.9,""documentary"":0.6}}"
5,rain_code,"Rain falling as luminous code glyphs on asphalt, reflections, slow motion, 50mm, 9:16 vertical composition","{""base_color"":""Teal-gold and night navy"",""emotional_palette"":[""mystery"",""anticipation""],""narrative_motif"":""Collective dream awakening"",""camera_bias"":""Aerial slow tilt, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.8,""mystical"":0.9,""documentary"":0.6}}"
6,balkez_voice,"Ethereal female voice visualized as light filaments weaving through fiber lines, intimate close, 9:16 vertical composition","{""base_color"":""Teal-gold and night navy"",""emotional_palette"":[""mystery"",""anticipation""],""narrative_motif"":""Collective dream awakening"",""camera_bias"":""Aerial slow tilt, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.8,""mystical"":0.9,""documentary"":0.6}}"
7,collective_wakeup,"Multiple faces in montage opening eyes in sync, soft strobe rhythm, hopeful tone, 9:16 vertical composition","{""base_color"":""Teal-gold and night navy"",""emotional_palette"":[""mystery"",""anticipation""],""narrative_motif"":""Collective dream awakening"",""camera_bias"":""Aerial slow tilt, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.8,""mystical"":0.9,""documentary"":0.6}}"
8,loop_symbol,"Infinity symbol made of drifting light particles over city sky, serene, monumental, 9:16 vertical composition","{""base_color"":""Teal-gold and night navy"",""emotional_palette"":[""mystery"",""anticipation""],""narrative_motif"":""Collective dream awakening"",""camera_bias"":""Aerial slow tilt, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.8,""mystical"":0.9,""documentary"":0.6}}"
9,signal_sent,"Terminal window on handheld device reading 'send(IkinciDongu)' with city sunrise background, shallow depth, 9:16 vertical composition","{""base_color"":""Teal-gold and night navy"",""emotional_palette"":[""mystery"",""anticipation""],""narrative_motif"":""Collective dream awakening"",""camera_bias"":""Aerial slow tilt, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.8,""mystical"":0.9,""documentary"":0.6}}"

