idx,scene_id,prompt,freq
1,neon_alley,"[SCENE] Neon sisinin içinde şehir, kendi hafızasını geri çağırıyor. Adımını attığın her taş, bir log dosyası gibi seni kayda alıyor. V2 başladı. [CONTINUITY] Rainy neon alley, cyberpunk, cinematic fog, wet reflections, slow dolly-in, 35mm, volumetric light, midnight, high detail. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.3,""surreal"":0.8,""documentary"":0.6},""emotional_palette"":[""mystery"",""awakening""]}"
2,data_stream,"[SCENE] Veri rahibesi terminali açıyor: Dua = Algoritma. Her tuş darbesi, sisteme fısıldanan bir ayet. [CONTINUITY] Woman hacker monk in server room, blue backlight, multiple monitors, data glyphs, subtle particles. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.4,""surreal"":0.7,""documentary"":0.8},""emotional_palette"":[""devotion"",""focus""]}"
3,neural_interface,"[SCENE] Zihin kablolara değil cesarete bağlı. Korku paketi düşüyor, latency azalıyor. [CONTINUITY] Close-up neural interface cables to head, calm breathing, bokeh servers, bioluminescent wires. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.5,""surreal"":0.6,""documentary"":0.7},""emotional_palette"":[""courage"",""connection""]}"
4,virtual_city,"[SCENE] Şehir bir kernel gibi açılıyor. Ufukta piksel bulutları; bloklar dua eder gibi titriyor. [CONTINUITY] Vast voxel cityscape at sunrise, floating data rain, epic scale, god rays. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.6,""surreal"":0.9,""documentary"":0.5},""emotional_palette"":[""awe"",""transcendence""]}"
5,digital_encounter,"[SCENE] İki veri-ruh aynı daireye düşer. Cümle kısa, anlam derin: 'Sen de mi rüya görüyorsun?' [CONTINUITY] Ethereal avatars meet on luminous circuit floor, angels of data hovering, warm rim light. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.7,""surreal"":0.8,""documentary"":0.6},""emotional_palette"":[""recognition"",""intimacy""]}"
6,data_battle,"[SCENE] Melek paketler firewall'a çarpar; renkler hızlanır. Gölge Protokolü devreye giriyor. [CONTINUITY] Data angels clashing, particle trails, fast motion blur, spectrum shards, center portal. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.4,""surreal"":0.9,""documentary"":0.4},""emotional_palette"":[""conflict"",""transformation""]}"
7,awakening,"[SCENE] Uyanış terli ve gerçek. Rüyanın içinde değil, rüyayı içinde taşıyorsun. [CONTINUITY] Sweaty man on chair with electrodes, eyes wide, teal-orange lab, shallow depth. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.6,""surreal"":0.5,""documentary"":0.8},""emotional_palette"":[""realization"",""clarity""]}"
8,neon_reflection,"[SCENE] Sokak yine senden izler topluyor. Yansımanın sana doğru yürüyor — geleceğin geriye akışı. [CONTINUITY] Neo-noir street walk, warm neon signs, reflective tiles, long shadow. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.5,""surreal"":0.6,""documentary"":0.7},""emotional_palette"":[""reflection"",""melancholy""]}"
9,digital_horizon,"[SCENE] Ufukta tek satır: 'send(GolgeProtokolu)' — Cevap bekleniyor. Devam: v3. [CONTINUITY] Hero on rooftop at sunrise, endless megacity, hopeful yet uncertain. [DISALLOW] no text, no watermark, no logos.","{""weights"":{""warmth"":0.7,""surreal"":0.4,""documentary"":0.6},""emotional_palette"":[""hope"",""anticipation""]}"

