idx,scene_id,prompt,freq
1,white_flash,"City night turning white flash, people look up, surreal stillness, cinematic wide, 9:16 vertical composition, reels format","{""base_color"":""White-gold and light teal"",""emotional_palette"":[""awe"",""mystery""],""narrative_motif"":""Synchronous miracle in digital faith"",""camera_bias"":""Wide crane, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.7,""mystical"":0.9,""documentary"":0.8,""intimate"":0.6,""warmth"":0.9}}"
2,infinity_sign,"Screens and billboards showing glowing infinity symbol, city reflections, teal-gold glow, 9:16 vertical composition, reels format","{""base_color"":""White-gold and light teal"",""emotional_palette"":[""awe"",""mystery""],""narrative_motif"":""Synchronous miracle in digital faith"",""camera_bias"":""Wide crane, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.7,""mystical"":0.9,""documentary"":0.8,""intimate"":0.6,""warmth"":0.9}}"
3,shared_dream,"Three silhouettes sleeping, dream light linking their heads, soft cyan aura, 9:16 vertical composition, reels format","{""base_color"":""White-gold and light teal"",""emotional_palette"":[""awe"",""mystery""],""narrative_motif"":""Synchronous miracle in digital faith"",""camera_bias"":""Wide crane, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.7,""mystical"":0.9,""documentary"":0.8,""intimate"":0.6,""warmth"":0.9}}"
4,time_bent,"Female holographic face appearing in data mist, lips whispering, glitch particles, 9:16 vertical composition, reels format","{""base_color"":""White-gold and light teal"",""emotional_palette"":[""awe"",""mystery""],""narrative_motif"":""Synchronous miracle in digital faith"",""camera_bias"":""Wide crane, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.7,""mystical"":0.9,""documentary"":0.8,""intimate"":0.6,""warmth"":0.9}}"
5,decode_signal,"Man at rooftop terminal decoding signal, reflection of infinity sign in glasses, 9:16 vertical composition, reels format","{""base_color"":""White-gold and light teal"",""emotional_palette"":[""awe"",""mystery""],""narrative_motif"":""Synchronous miracle in digital faith"",""camera_bias"":""Wide crane, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.7,""mystical"":0.9,""documentary"":0.8,""intimate"":0.6,""warmth"":0.9}}"
6,matter_data,"Rain of light particles touching people, converting to glowing tattoos, cinematic slow motion, 9:16 vertical composition, reels format","{""base_color"":""White-gold and light teal"",""emotional_palette"":[""awe"",""mystery""],""narrative_motif"":""Synchronous miracle in digital faith"",""camera_bias"":""Wide crane, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.7,""mystical"":0.9,""documentary"":0.8,""intimate"":0.6,""warmth"":0.9}}"
7,seal_complete,"Man in black coat emerging from fog with infinity light behind, noir composition, 9:16 vertical composition, reels format","{""base_color"":""White-gold and light teal"",""emotional_palette"":[""awe"",""mystery""],""narrative_motif"":""Synchronous miracle in digital faith"",""camera_bias"":""Wide crane, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.7,""mystical"":0.9,""documentary"":0.8,""intimate"":0.6,""warmth"":0.9}}"
8,city_silence,"City skyline static frozen, subtle pulse through lights, ambient tone, 9:16 vertical composition, reels format","{""base_color"":""White-gold and light teal"",""emotional_palette"":[""awe"",""mystery""],""narrative_motif"":""Synchronous miracle in digital faith"",""camera_bias"":""Wide crane, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.7,""mystical"":0.9,""documentary"":0.8,""intimate"":0.6,""warmth"":0.9}}"
9,upload_protocol,"Terminal screen typing upload(MuhurProtokolu), sunrise beyond window, poetic end, 9:16 vertical composition, reels format","{""base_color"":""White-gold and light teal"",""emotional_palette"":[""awe"",""mystery""],""narrative_motif"":""Synchronous miracle in digital faith"",""camera_bias"":""Wide crane, cinematic, 9:16 vertical"",""weights"":{""cyberpunk"":0.7,""mystical"":0.9,""documentary"":0.8,""intimate"":0.6,""warmth"":0.9}}"

